year,sector,Allowed Emission,Current Measures,Current Measure deviation,Additonal Measure,Additional Measure deviation
2023,Agriculture,88.110435,84.973593,1.317246,83.739541,2.501983
2023,Buildings,132.055659,151.25936,18.873566,144.119242,8.3202
2023,Industry,226.99322,243.34927,8.256311,243.391967,7.578743
2023,Traffic,173.624979,208.623764,38.974571,208.783082,40.848613
2023,Total,620.784293,688.205987,67.421694,680.033832,59.249539
2024,Agriculture,85.650138,79.372186,-2.567943,77.841102,-3.142828
2024,Buildings,123.846983,138.649623,13.877432,131.012051,6.216583
2024,Industry,214.942332,226.86464,11.105379,226.483787,9.928763
2024,Traffic,163.573465,196.143456,30.602119,195.812966,30.13447
2024,Total,588.012918,641.029905,53.016987,631.149906,43.136988
2025,Agriculture,81.912645,77.039143,-2.059417,75.400476,-2.750448
2025,Buildings,115.75831,130.762532,14.233267,123.018431,6.516203
2025,Industry,201.767079,215.038326,13.077634,213.399615,10.37584
2025,Traffic,154.93251,184.171676,27.38965,184.226166,27.53255
2025,Total,554.370544,607.011677,52.641134,596.044688,41.674145
2026,Agriculture,79.392912,72.602394,-2.925846,70.556283,-5.180679
2026,Buildings,107.700639,118.610427,9.881277,110.98078,4.090486
2026,Industry,188.618953,196.404523,9.901482,193.318255,6.499023
2026,Traffic,145.015664,170.014986,20.047249,169.64123,18.35955
2026,Total,520.728168,557.63233,36.904162,544.496548,23.76838
2027,Agriculture,76.788433,68.282099,-3.363915,65.985368,-7.248597
2027,Buildings,99.678676,107.805192,6.481432,100.231243,2.220616
2027,Industry,174.27004,178.215195,6.949543,174.10356,3.492938
2027,Traffic,136.348645,154.884306,12.033939,154.117877,8.887298
2027,Total,487.085794,509.186792,22.100999,494.438048,7.352255
2028,Agriculture,72.986532,65.405864,-1.765235,62.955553,-6.545415
2028,Buildings,91.835179,97.988547,4.804481,90.481594,1.17884
2028,Industry,161.454331,162.494033,5.061947,158.961253,2.04567
2028,Traffic,125.425376,143.994558,10.08039,141.938704,5.956591
2028,Total,451.701418,469.883002,18.181583,454.337104,2.635686
2029,Agriculture,69.163612,62.214205,0.029461,59.160715,-6.000314
2029,Buildings,84.080058,88.614396,3.364405,79.917367,0.017285
2029,Industry,149.94325,146.049368,2.928283,141.517433,0.02583
2029,Traffic,112.259123,133.198712,8.308489,129.027655,0.134326
2029,Total,415.446043,430.076681,14.630638,409.62317,-5.822873
2030,Agriculture,66.477117,61.027413,0.25864,57.344919,-5.527382
2030,Buildings,76.425778,82.445499,5.272597,72.534025,0.251369
2030,Industry,138.515714,133.921313,3.276998,128.010138,0.104669
2030,Traffic,97.025025,124.640091,14.782446,118.374868,2.991659
2030,Total,378.443634,402.034316,23.590681,376.26395,-2.179685
2031,Agriculture,,60.634956,,56.850624,
2031,Buildings,,76.439187,,65.29507,
2031,Industry,,124.229753,,118.03464,
2031,Traffic,,118.127681,,110.031076,
2031,Total,,379.431577,,350.21141,
2032,Agriculture,,60.495947,,56.475057,
2032,Buildings,,71.124728,,58.115517,
2032,Industry,,116.41398,,109.58795,
2032,Traffic,,112.900283,,102.55387,
2032,Total,,360.934938,,326.732394,
2033,Agriculture,,60.320098,,56.083888,
2033,Buildings,,65.834527,,51.676677,
2033,Industry,,109.190794,,102.080286,
2033,Traffic,,106.291765,,94.367701,
2033,Total,,341.637184,,304.208552,
2034,Agriculture,,60.107918,,55.705923,
2034,Buildings,,60.502434,,45.216185,
2034,Industry,,103.123184,,95.504338,
2034,Traffic,,99.475779,,86.38572,
2034,Total,,323.209315,,282.812166,
2035,Agriculture,,59.837889,,55.315666,
2035,Buildings,,55.745989,,39.766492,
2035,Industry,,97.105528,,89.143114,
2035,Traffic,,91.505487,,77.148969,
2035,Total,,304.194893,,261.374241,
2036,Agriculture,,59.613041,,55.405979,
2036,Buildings,,51.556905,,35.032434,
2036,Industry,,91.326746,,83.99341,
2036,Traffic,,82.803934,,67.520764,
2036,Total,,285.300626,,241.952587,
2037,Agriculture,,59.292598,,55.414406,
2037,Buildings,,47.633386,,30.857959,
2037,Industry,,86.741054,,80.072703,
2037,Traffic,,75.113207,,58.746745,
2037,Total,,268.780245,,225.091813,
2038,Agriculture,,58.823102,,55.278508,
2038,Buildings,,44.094791,,27.500827,
2038,Industry,,82.59662,,76.572608,
2038,Traffic,,68.148748,,50.826917,
2038,Total,,253.663261,,210.17886,
2039,Agriculture,,58.303543,,55.094558,
2039,Buildings,,41.443116,,24.575235,
2039,Industry,,78.61843,,73.054562,
2039,Traffic,,61.96819,,44.04533,
2039,Total,,240.333279,,196.769685,
2040,Agriculture,,57.825591,,54.977042,
2040,Buildings,,38.990113,,21.846159,
2040,Industry,,74.573685,,69.771613,
2040,Traffic,,56.263605,,38.132029,
2040,Total,,227.652994,,184.726843,
2041,Agriculture,,58.134789,,55.249747,
2041,Buildings,,37.424201,,20.442635,
2041,Industry,,73.637025,,68.915854,
2041,Traffic,,51.451133,,32.703928,
2041,Total,,220.647148,,177.312164,
2042,Agriculture,,58.497135,,55.630731,
2042,Buildings,,36.12804,,19.183575,
2042,Industry,,72.04748,,67.352505,
2042,Traffic,,47.016415,,27.986307,
2042,Total,,213.68907,,170.153118,
2043,Agriculture,,58.87401,,56.126529,
2043,Buildings,,35.107251,,17.750994,
2043,Industry,,70.455362,,65.92207,
2043,Traffic,,43.066482,,23.893889,
2043,Total,,207.503105,,163.693482,
2044,Agriculture,,59.253767,,56.600405,
2044,Buildings,,34.188602,,16.714882,
2044,Industry,,69.031821,,64.491695,
2044,Traffic,,39.461298,,20.245892,
2044,Total,,201.935488,,158.052874,
2045,Agriculture,,59.682109,,57.103085,
2045,Buildings,,33.26826,,15.830107,
2045,Industry,,67.614128,,63.04273,
2045,Traffic,,36.144968,,17.089283,
2045,Total,,196.709465,,153.065205,
2046,Agriculture,,60.001669,,57.695202,
2046,Buildings,,32.307859,,15.09291,
2046,Industry,,67.193247,,62.547239,
2046,Traffic,,33.109748,,14.143086,
2046,Total,,192.612523,,149.478437,
2047,Agriculture,,60.35493,,58.220024,
2047,Buildings,,31.380092,,14.327695,
2047,Industry,,66.690325,,61.974879,
2047,Traffic,,30.417279,,11.382058,
2047,Total,,188.842626,,145.904656,
2048,Agriculture,,60.804262,,58.732023,
2048,Buildings,,30.531421,,13.670401,
2048,Industry,,66.375024,,61.540448,
2048,Traffic,,28.012713,,8.86591,
2048,Total,,185.72342,,142.808782,
2049,Agriculture,,61.188021,,59.193452,
2049,Buildings,,29.717089,,13.129328,
2049,Industry,,66.001643,,61.111637,
2049,Traffic,,25.855671,,6.624881,
2049,Total,,182.762424,,140.059298,
2050,Agriculture,,61.630526,,59.729543,
2050,Buildings,,29.006705,,12.71158,
2050,Industry,,64.604322,,59.754871,
2050,Traffic,,24.066982,,4.688028,
2050,Total,,179.308535,,136.884022,
