ds,yhat,yhat_lower,yhat_upper
2025-12-31,4.196877687851186,3.774805968491539,4.643602361318076
2026-12-31,3.912573081047,3.4349328267967993,4.356902794992199
2027-12-31,3.5745031380328878,3.111138201050989,4.0139796500953615
2028-12-31,4.2372555475071625,3.778969256774162,4.669472083872662
2029-12-31,4.007135132076714,3.534409681971205,4.464775518982225
2030-12-31,3.722830525273643,3.25030751724716,4.1887542285816535
2031-12-31,3.3847605822545836,2.90427067159091,3.8658788995527065
2032-12-31,4.047512991732381,3.5732495083015423,4.554887163771638
2033-12-31,3.81739257630612,3.315301899250187,4.31166624932863
2034-12-31,3.5330879694975814,3.021945908558556,4.05219961735717
2035-12-31,3.1950180264830768,2.6543781856699318,3.6723245476228956
